tweetID,trump_or_biden,sentiment_score
1.3165293050069524e+18,b,0
1.3165298193630167e+18,b,1
1.3165298078957855e+18,b,0
1.3165294820361093e+18,b,0
1.3165296791893975e+18,b,0
1.3165298163430195e+18,b,0
1.3165299516261376e+18,b,1
1.316529668279894e+18,b,1
1.3165297527616102e+18,b,0
1.3165293928273428e+18,b,1
1.3165298448853484e+18,b,0
1.316529605281493e+18,b,0
1.3165293080815575e+18,b,1
1.316529221557252e+18,b,1
1.3165293692009513e+18,b,0
1.3165299680301343e+18,b,0
1.3165295553986273e+18,b,0
1.3165298927423652e+18,b,1
1.3165298981404467e+18,b,0
1.3165299703326966e+18,b,1
1.316529533479248e+18,b,0
1.3165297017419776e+18,b,1
1.3165295847126917e+18,b,0
1.3165295691140833e+18,b,0
1.3165294056284815e+18,b,1
1.3165299335068017e+18,b,0
1.3165297246261043e+18,b,1
1.3165293476086784e+18,b,1
1.316529962833326e+18,b,1
1.3165299281547756e+18,b,0
1.3165295378203812e+18,b,1
1.3165295693614694e+18,b,1
1.3165297461095096e+18,b,0
1.316529960996176e+18,b,0
1.31652987081873e+18,b,1
1.3165297093714616e+18,b,0
1.3165293165079306e+18,b,1
1.3165293244182405e+18,b,1
1.3165297436306555e+18,b,1
1.316529646633136e+18,b,1
1.316529716623483e+18,b,1
1.3165295569295114e+18,b,1
1.3165298999146455e+18,b,0
1.3165299954733302e+18,b,1
1.316529312741253e+18,b,1
1.3165299474151383e+18,b,0
1.3165297778812518e+18,b,0
1.3165299558496584e+18,b,1
1.31652929585929e+18,b,0
1.3165294600327987e+18,b,0
